站点ID,站点名称,所属线路,运营状态
0101,莘庄,1号线,开启
0102,外环路,1号线,开启
0103,莲花路,1号线,开启
0104,锦江乐园,1号线,开启
0105,上海南站,1号线,开启
0106,漕宝路,1号线,开启
0107,上海体育馆,1号线,开启
0108,徐家汇,1号线,开启
0109,衡山路,1号线,开启
0110,常熟路,1号线,开启
0111,陕西南路,1号线,开启
0112,一大会址·黄陂南路,1号线,开启
0113,人民广场,1号线,开启
0114,新闸路,1号线,开启
0115,汉中路,1号线,开启
0116,上海火车站,1号线,开启
0117,中山北路,1号线,开启
0118,延长路,1号线,开启
0119,上海马戏城,1号线,开启
0120,汶水路,1号线,开启
0121,彭浦新村,1号线,开启
0122,共康路,1号线,开启
0123,通河新村,1号线,开启
0124,呼兰路,1号线,开启
0125,共富新村,1号线,开启
0126,宝安公路,1号线,开启
0127,友谊西路,1号线,开启
0128,富锦路,1号线,开启
0201,蟠祥路·国家会计学院,2号线,开启
0202,国家会展中心,2号线,开启
0203,虹桥火车站,2号线,开启
0204,虹桥2号航站楼,2号线,开启
0205,淞虹路,2号线,开启
0206,北新泾,2号线,开启
0207,威宁路,2号线,开启
0208,娄山关路,2号线,开启
0209,中山公园,2号线,开启
0210,江苏路,2号线,开启
0211,静安寺,2号线,开启
0212,南京西路,2号线,开启
0213,人民广场,2号线,开启
0214,南京东路,2号线,开启
0215,陆家嘴,2号线,开启
0216,浦东南路,2号线,开启
0217,世纪大道,2号线,开启
0218,上海科技馆,2号线,开启
0219,世纪公园,2号线,开启
0220,龙阳路,2号线,开启
0221,张江高科,2号线,开启
0222,金科路,2号线,开启
0223,广兰路,2号线,开启
0224,唐镇,2号线,开启
0225,创新中路,2号线,开启
0226,华夏东路,2号线,开启
0227,川沙,2号线,开启
0228,凌空路,2号线,开启
0229,远东大道,2号线,开启
0230,海天三路,2号线,开启
0231,浦东1号2号航站楼,2号线,开启
0301,上海南站,3号线,开启
0302,石龙路,3号线,开启
0303,龙漕路,3号线,开启
0304,漕溪路,3号线,开启
0305,宜山路,3号线,开启
0306,虹桥路,3号线,开启
0307,延安西路,3号线,开启
0308,中山公园,3号线,开启
0309,金沙江路,3号线,开启
0310,曹杨路,3号线,开启
0311,镇坪路,3号线,开启
0312,中潭路,3号线,开启
0313,上海火车站,3号线,开启
0314,宝山路,3号线,开启
