line,direction,from_station,to_station,interval_min
6,往港城路,东方体育中心,灵岩南路,2
6,往港城路,灵岩南路,上南路,2
6,往港城路,上南路,华夏西路,2
6,往港城路,华夏西路,高青路,3
6,往港城路,高青路,东明路,2
6,往港城路,东明路,高科西路,3
6,往港城路,高科西路,临沂新村 ,2
6,往港城路,临沂新村 ,上海儿童医学中心,3
6,往港城路,上海儿童医学中心,蓝村路,3
6,往港城路,蓝村路,浦电路 ,2
6,往港城路,浦电路 ,世纪大道,3
6,往港城路,世纪大道,源深体育中心,2
6,往港城路,源深体育中心,民生路,2
6,往港城路,民生路,北洋泾路,2
6,往港城路,北洋泾路,德平路,3
6,往港城路,德平路,云山路,2
6,往港城路,云山路,金桥路,3
6,往港城路,金桥路,博兴路,2
6,往港城路,博兴路,五莲路,2
6,往港城路,五莲路,巨峰路,2
6,往港城路,巨峰路,东靖路,3
6,往港城路,东靖路,五洲大道,2
6,往港城路,五洲大道,洲海路,2
6,往港城路,洲海路,外高桥保税区南,3
6,往港城路,外高桥保税区南,航津路,3
6,往港城路,航津路,外高桥保税区北,2
6,往港城路,外高桥保税区北,港城路,3
6,往东方体育中心,港城路,外高桥保税区北,2
6,往东方体育中心,外高桥保税区北,航津路,3
6,往东方体育中心,航津路,外高桥保税区南,3
6,往东方体育中心,外高桥保税区南,洲海路,3
6,往东方体育中心,洲海路,五洲大道,2
6,往东方体育中心,五洲大道,东靖路,2
6,往东方体育中心,东靖路,巨峰路,2
6,往东方体育中心,巨峰路,五莲路,2
6,往东方体育中心,五莲路,博兴路,3
6,往东方体育中心,博兴路,金桥路,2
6,往东方体育中心,金桥路,云山路,2
6,往东方体育中心,云山路,德平路,3
6,往东方体育中心,德平路,北洋泾路,2
6,往东方体育中心,北洋泾路,民生路,2
6,往东方体育中心,民生路,源深体育中心,3
6,往东方体育中心,源深体育中心,世纪大道,2
6,往东方体育中心,世纪大道,浦电路 ,3
6,往东方体育中心,浦电路 ,蓝村路,2
6,往东方体育中心,蓝村路,上海儿童医学中心,3
6,往东方体育中心,上海儿童医学中心,临沂新村 ,2
6,往东方体育中心,临沂新村 ,高科西路,3
6,往东方体育中心,高科西路,东明路,2
6,往东方体育中心,东明路,高青路,3
6,往东方体育中心,高青路,华夏西路,2
6,往东方体育中心,华夏西路,上南路,2
6,往东方体育中心,上南路,灵岩南路,2
6,往东方体育中心,灵岩南路,东方体育中心,2
