起点站ID,终点站ID,线路,运行方向,通行时间
0128,0127,1号线,往莘庄,2
0127,0126,1号线,往莘庄,2
0126,0125,1号线,往莘庄,3
0125,0124,1号线,往莘庄,3
0124,0123,1号线,往莘庄,2
0123,0122,1号线,往莘庄,3
0122,0121,1号线,往莘庄,2
0121,0120,1号线,往莘庄,3
0120,0119,1号线,往莘庄,3
0119,0118,1号线,往莘庄,2
0118,0117,1号线,往莘庄,2
0116,0115,1号线,往莘庄,1
0115,0114,1号线,往莘庄,2
0114,0113,1号线,往莘庄,2
0113,0112,1号线,往莘庄,3
0112,0111,1号线,往莘庄,2
0111,0110,1号线,往莘庄,2
0110,0109,1号线,往莘庄,2
0109,0108,1号线,往莘庄,2
0108,0107,1号线,往莘庄,3
0107,0106,1号线,往莘庄,2
0106,0105,1号线,往莘庄,3
0105,0104,1号线,往莘庄,3
0104,0103,1号线,往莘庄,3
0103,0102,1号线,往莘庄,2
0102,0101,1号线,往莘庄,2
0101,0102,1号线,往富锦路,2
0102,0103,1号线,往富锦路,2
0103,0104,1号线,往富锦路,3
0105,0106,1号线,往富锦路,2
0106,0107,1号线,往富锦路,3
0107,0108,1号线,往富锦路,2
0108,0109,1号线,往富锦路,2
0109,0110,1号线,往富锦路,2
0110,0111,1号线,往富锦路,2
0111,0112,1号线,往富锦路,3
0112,0113,1号线,往富锦路,3
0113,0114,1号线,往富锦路,1
0114,0115,1号线,往富锦路,2
0115,0116,1号线,往富锦路,3
0116,0117,1号线,往富锦路,2
0117,0118,1号线,往富锦路,3
0118,0119,1号线,往富锦路,2
0119,0120,1号线,往富锦路,2
0120,0121,1号线,往富锦路,3
0121,0122,1号线,往富锦路,3
0122,0123,1号线,往富锦路,2
0123,0124,1号线,往富锦路,3
0124,0125,1号线,往富锦路,2
0125,0126,1号线,往富锦路,3
0126,0127,1号线,往富锦路,2
0127,0128,1号线,往富锦路,2
0231,0230,2号线,往蟠祥路·国家会计学院,3
0230,0229,2号线,往蟠祥路·国家会计学院,7
0229,0228,2号线,往蟠祥路·国家会计学院,5
0228,0227,2号线,往蟠祥路·国家会计学院,3
0227,0226,2号线,往蟠祥路·国家会计学院,5
0226,0225,2号线,往蟠祥路·国家会计学院,3
0225,0224,2号线,往蟠祥路·国家会计学院,3
0223,0222,2号线,往蟠祥路·国家会计学院,3
0222,0221,2号线,往蟠祥路·国家会计学院,2
0220,0219,2号线,往蟠祥路·国家会计学院,1
0219,0218,2号线,往蟠祥路·国家会计学院,3
0218,0217,2号线,往蟠祥路·国家会计学院,3
0217,0216,2号线,往蟠祥路·国家会计学院,2
0216,0215,2号线,往蟠祥路·国家会计学院,2
0215,0214,2号线,往蟠祥路·国家会计学院,3
0214,0213,2号线,往蟠祥路·国家会计学院,3
0213,0212,2号线,往蟠祥路·国家会计学院,2
0212,0211,2号线,往蟠祥路·国家会计学院,2
0211,0210,2号线,往蟠祥路·国家会计学院,3
0210,0209,2号线,往蟠祥路·国家会计学院,3
0209,0208,2号线,往蟠祥路·国家会计学院,3
0208,0207,2号线,往蟠祥路·国家会计学院,3
0207,0206,2号线,往蟠祥路·国家会计学院,2
0206,0205,2号线,往蟠祥路·国家会计学院,3
0205,0204,2号线,往蟠祥路·国家会计学院,7
0204,0203,2号线,往蟠祥路·国家会计学院,2
0203,0202,2号线,往蟠祥路·国家会计学院,3
0202,0201,2号线,往蟠祥路·国家会计学院,2
0201,0202,2号线,往广兰路,3
0202,0203,2号线,往广兰路,3
0203,0204,2号线,往广兰路,2
0204,0205,2号线,往广兰路,7
0205,0206,2号线,往广兰路,2
0206,0207,2号线,往广兰路,2
0207,0208,2号线,往广兰路,3
0208,0209,2号线,往广兰路,3
0209,0210,2号线,往广兰路,2
0210,0211,2号线,往广兰路,3
0211,0212,2号线,往广兰路,3
0212,0213,2号线,往广兰路,3
0213,0214,2号线,往广兰路,2
0214,0215,2号线,往广兰路,3
0215,0216,2号线,往广兰路,2
0216,0217,2号线,往广兰路,3
0217,0218,2号线,往广兰路,3
0218,0219,2号线,往广兰路,2
0219,0220,2号线,往广兰路,2
0220,0221,2号线,往广兰路,4
0221,0222,2号线,往广兰路,3
0223,0224,2号线,往广兰路,4
0224,0225,2号线,往广兰路,4
0225,0226,2号线,往广兰路,3
0226,0227,2号线,往广兰路,4
0227,0228,2号线,往广兰路,4
0228,0229,2号线,往广兰路,5
0229,0230,2号线,往广兰路,7
0230,0231,2号线,往广兰路,3
0329,0328,3号线,往上海南站,3
0328,0327,3号线,往上海南站,3
0327,0326,3号线,往上海南站,2
0326,0325,3号线,往上海南站,3
0325,0324,3号线,往上海南站,2
0324,0323,3号线,往上海南站,2
0323,0322,3号线,往上海南站,3
0322,0321,3号线,往上海南站,3
0321,0320,3号线,往上海南站,3
0320,0319,3号线,往上海南站,3
0319,0318,3号线,往上海南站,3
0318,0317,3号线,往上海南站,2
0317,0316,3号线,往上海南站,2
0316,0315,3号线,往上海南站,3
0315,0314,3号线,往上海南站,2
0314,0313,3号线,往上海南站,3
0313,0312,3号线,往上海南站,3
0312,0311,3号线,往上海南站,3
0311,0310,3号线,往上海南站,3
0310,0309,3号线,往上海南站,2
0309,0308,3号线,往上海南站,2
0308,0307,3号线,往上海南站,3
0307,0306,3号线,往上海南站,2
0306,0305,3号线,往上海南站,3
0305,0304,3号线,往上海南站,2
0304,0303,3号线,往上海南站,3
0303,0302,3号线,往上海南站,2
0302,0301,3号线,往上海南站,2
0301,0302,3号线,往江杨北路,2
0302,0303,3号线,往江杨北路,3
0303,0304,3号线,往江杨北路,2
0304,0305,3号线,往江杨北路,3
0305,0306,3号线,往江杨北路,2
0306,0307,3号线,往江杨北路,3
0307,0308,3号线,往江杨北路,2
0308,0309,3号线,往江杨北路,3
0309,0310,3号线,往江杨北路,2
0310,0311,3号线,往江杨北路,3
0311,0312,3号线,往江杨北路,2
0312,0313,3号线,往江杨北路,3
0313,0314,3号线,往江杨北路,4
0314,0315,3号线,往江杨北路,2
0315,0316,3号线,往江杨北路,2
0316,0317,3号线,往江杨北路,3
0317,0318,3号线,往江杨北路,2
0318,0319,3号线,往江杨北路,3
0319,0320,3号线,往江杨北路,2
0320,0321,3号线,往江杨北路,3
0321,0322,3号线,往江杨北路,3
0322,0323,3号线,往江杨北路,2
0323,0324,3号线,往江杨北路,3
0324,0325,3号线,往江杨北路,2
0325,0326,3号线,往江杨北路,3
0326,0327,3号线,往江杨北路,2
0327,0328,3号线,往江杨北路,3
0328,0329,3号线,往江杨北路,3
0401,0426,4号线,全程（外）,2
0426,0425,4号线,全程（外）,2
0425,0424,4号线,全程（外）,2
0424,0423,4号线,全程（外）,2
0423,0422,4号线,全程（外）,3
0422,0421,4号线,全程（外）,2
0421,0420,4号线,全程（外）,4
0420,0419,4号线,全程（外）,2
0419,0418,4号线,全程（外）,2
0418,0417,4号线,全程（外）,2
0417,0416,4号线,全程（外）,3
0416,0415,4号线,全程（外）,2
0415,0414,4号线,全程（外）,2
0414,0413,4号线,全程（外）,3
0413,0412,4号线,全程（外）,2
0412,0411,4号线,全程（外）,3
0411,0410,4号线,全程（外）,3
0410,0409,4号线,全程（外）,3
0409,0408,4号线,全程（外）,3
0408,0407,4号线,全程（外）,3
0407,0406,4号线,全程（外）,2
0406,0405,4号线,全程（外）,2
0405,0404,4号线,全程（外）,3
0404,0403,4号线,全程（外）,2
0403,0402,4号线,全程（外）,3
0402,0403,4号线,全程（内）,3
0403,0404,4号线,全程（内）,2
0404,0405,4号线,全程（内）,2
0405,0406,4号线,全程（内）,3
0406,0407,4号线,全程（内）,2
0407,0408,4号线,全程（内）,3
0408,0409,4号线,全程（内）,2
0409,0410,4号线,全程（内）,3
0410,0411,4号线,全程（内）,4
0411,0412,4号线,全程（内）,3
0412,0413,4号线,全程（内）,2
0413,0414,4号线,全程（内）,2
0414,0415,4号线,全程（内）,2
0415,0416,4号线,全程（内）,2
0416,0417,4号线,全程（内）,3
0417,0418,4号线,全程（内）,2
0418,0419,4号线,全程（内）,2
0419,0420,4号线,全程（内）,3
0420,0421,4号线,全程（内）,3
0421,0422,4号线,全程（内）,2
0422,0423,4号线,全程（内）,2
0423,0424,4号线,全程（内）,3
0424,0425,4号线,全程（内）,2
0425,0426,4号线,全程（内）,2
