line,direction,from_station,to_station,interval_min
15,往紫竹高新区,顾村公园,锦秋路,3
15,往紫竹高新区,锦秋路,丰翔路,2
15,往紫竹高新区,丰翔路,南大路,2
15,往紫竹高新区,南大路,祁安路,2
15,往紫竹高新区,祁安路,古浪路,2
15,往紫竹高新区,古浪路,武威东路,2
15,往紫竹高新区,武威东路,上海西站,3
15,往紫竹高新区,上海西站,铜川路,2
15,往紫竹高新区,铜川路,梅岭北路,2
15,往紫竹高新区,梅岭北路,大渡河路,2
15,往紫竹高新区,大渡河路,长风公园,2
15,往紫竹高新区,长风公园,娄山关路,2
15,往紫竹高新区,娄山关路,红宝石路,3
15,往紫竹高新区,红宝石路,姚虹路,2
15,往紫竹高新区,姚虹路,吴中路,2
15,往紫竹高新区,吴中路,桂林路,3
15,往紫竹高新区,桂林路,桂林公园,1
15,往紫竹高新区,桂林公园,上海南站,3
15,往紫竹高新区,上海南站,华东理工大学,3
15,往紫竹高新区,华东理工大学,罗秀路,2
15,往紫竹高新区,罗秀路,朱梅路,2
15,往紫竹高新区,朱梅路,景洪路,2
15,往紫竹高新区,景洪路,虹梅南路,3
15,往紫竹高新区,虹梅南路,景西路,2
15,往紫竹高新区,景西路,曙建路,2
15,往紫竹高新区,曙建路,双柏路,2
15,往紫竹高新区,双柏路,元江路,3
15,往紫竹高新区,元江路,永德路,4
15,往紫竹高新区,永德路,紫竹高新区,2
15,往顾村公园,紫竹高新区,永德路,2
15,往顾村公园,永德路,元江路,4
15,往顾村公园,元江路,双柏路,3
15,往顾村公园,双柏路,曙建路,1
15,往顾村公园,曙建路,景西路,3
15,往顾村公园,景西路,虹梅南路,2
15,往顾村公园,虹梅南路,景洪路,2
15,往顾村公园,景洪路,朱梅路,2
15,往顾村公园,朱梅路,罗秀路,2
15,往顾村公园,罗秀路,华东理工大学,3
15,往顾村公园,华东理工大学,上海南站,3
15,往顾村公园,上海南站,桂林公园,2
15,往顾村公园,桂林公园,桂林路,2
15,往顾村公园,桂林路,吴中路,2
15,往顾村公园,吴中路,姚虹路,2
15,往顾村公园,姚虹路,红宝石路,3
15,往顾村公园,红宝石路,娄山关路,2
15,往顾村公园,娄山关路,长风公园,3
15,往顾村公园,长风公园,大渡河路,2
15,往顾村公园,大渡河路,梅岭北路,2
15,往顾村公园,梅岭北路,铜川路,2
15,往顾村公园,铜川路,上海西站,2
15,往顾村公园,上海西站,武威东路,2
15,往顾村公园,武威东路,古浪路,2
15,往顾村公园,古浪路,祁安路,3
15,往顾村公园,祁安路,南大路,2
15,往顾村公园,南大路,丰翔路,1
15,往顾村公园,丰翔路,锦秋路,3
15,往顾村公园,锦秋路,顾村公园,3
